Date,Open,High,Low,Close,Volume,Trade_count,vwap
2021-11-04 17:45:00+00:00,151.45,151.57,151.4,151.475,572124,4677,151.494741
2021-11-04 17:50:00+00:00,151.48,151.5,151.39,151.47,326311,2916,151.437071
2021-11-04 17:55:00+00:00,151.46,151.55,151.42,151.5301,421360,3517,151.488154
2021-11-04 18:00:00+00:00,151.53,151.55,151.2,151.2,553088,5045,151.39176
2021-11-04 18:05:00+00:00,151.2,151.39,151.18,151.365,476822,3751,151.267301
2021-11-04 18:10:00+00:00,151.38,151.39,151.26,151.36,346232,3258,151.326689
2021-11-04 18:15:00+00:00,151.36,151.365,151.17,151.34,362690,3500,151.266871
2021-11-04 18:20:00+00:00,151.3312,151.38,151.22,151.2902,343238,3436,151.299724
2021-11-04 18:25:00+00:00,151.29,151.31,151.13,151.135,358931,3529,151.216194
2021-11-04 18:30:00+00:00,151.135,151.24,151.12,151.225,305566,3074,151.167901
2021-11-04 18:35:00+00:00,151.23,151.35,151.2119,151.215,391294,3672,151.272443
2021-11-04 18:40:00+00:00,151.215,151.33,151.215,151.2368,358992,3279,151.277511
2021-11-04 18:45:00+00:00,151.23,151.28,151.155,151.2571,464721,4053,151.21113
2021-11-04 18:50:00+00:00,151.265,151.34,151.2313,151.255,302214,3197,151.300115
2021-11-04 18:55:00+00:00,151.25,151.36,151.17,151.18,363790,3714,151.286211
2021-11-04 19:00:00+00:00,151.175,151.265,151.13,151.21,504078,4423,151.198759
2021-11-04 19:05:00+00:00,151.2199,151.355,151.19,151.2927,425846,4242,151.278471
2021-11-04 19:10:00+00:00,151.2938,151.44,151.2925,151.4124,488894,4223,151.380965
2021-11-04 19:15:00+00:00,151.41,151.4483,151.33,151.3783,357638,3384,151.389306
2021-11-04 19:20:00+00:00,151.37,151.49,151.34,151.4001,385060,3569,151.400617
2021-11-04 19:25:00+00:00,151.4,151.47,151.37,151.44,318351,3246,151.428329
2021-11-04 19:30:00+00:00,151.45,151.54,151.4201,151.495,505384,4539,151.490118
2021-11-04 19:35:00+00:00,151.4901,151.5,151.25,151.2915,538416,5249,151.351822
2021-11-04 19:40:00+00:00,151.3,151.31,151.035,151.14,645022,6226,151.146419
2021-11-04 19:45:00+00:00,151.145,151.44,151.09,151.345,706155,6487,151.291419
2021-11-04 19:50:00+00:00,151.35,151.36,150.93,151.035,1491296,13477,151.0888
2021-11-04 19:55:00+00:00,151.03,151.03,150.64,150.96,2583863,19187,150.813054
2021-11-04 20:00:00+00:00,150.96,151.0,150.84,150.96,9439529,446,150.959973
2021-11-04 20:05:00+00:00,150.96,150.97,150.94,150.95,71925,308,150.957883
2021-11-04 20:10:00+00:00,150.94,150.96,150.94,150.94,20684,295,150.952904
2021-11-04 20:15:00+00:00,150.95,150.96,150.94,150.96,13453,275,151.038941
2021-11-04 20:20:00+00:00,150.95,151.07,150.95,151.04,77283,266,150.966181
